# Created by Octave 3.0.1, Fri Feb 13 17:46:30 2009 CST <agam@localhost>
# name: set1
# type: matrix
# rows: 200
# columns: 2
 29.69849246231156 59.71661693602071
 12.51256281407035 23.73252144978657
 29.49748743718593 60.10478414366307
 21.75879396984925 44.08007551606463
 13.51758793969849 24.52516389940249
 26.68341708542714 52.59123925289686
 12.1105527638191 24.09790739170643
 20.25125628140703 39.77573515123095
 12.61306532663317 22.80023969588674
 17.63819095477387 34.02273643430492
 28.19095477386935 55.53477003083449
 15.42713567839196 30.62741721750934
 11.4070351758794 20.23009768637258
 13.41708542713568 25.40439278573317
 15.32663316582915 30.95423865783515
 15.12562814070352 30.2437257877357
 13.31658291457286 24.1117649908767
 17.8391959798995 39.64176657638549
 29.39698492462312 61.92952306085316
 18.94472361809045 38.11198118640954
 10.7035175879397 16.53317354200794
 15.92964824120603 29.86560777321275
 27.98994974874372 56.58320601994213
 13.91959798994975 27.79195635347333
 23.06532663316583 45.82448806985884
 14.92462311557789 32.71761988467168
 18.04020100502512 35.32773686838078
 28.5929648241206 57.67386070313581
 17.73869346733668 31.00150003106167
 18.34170854271357 37.12284219925082
 22.76381909547739 45.15919884011414
 25.07537688442211 49.46183859458885
 16.63316582914573 34.4354392869858
 15.52763819095477 33.27443012209224
 16.33165829145729 32.58965970904582
 18.74371859296483 39.24681781839685
 18.64321608040201 35.0856785888129
 18.44221105527638 35.80323358548038
 14.72361809045226 29.44519135374663
 10.30150753768844 19.63060817437395
 24.37185929648241 45.8629759307533
 19.54773869346734 37.02014846099061
 15.22613065326633 32.95019833179943
 26.28140703517588 50.73463355971906
 21.25628140703517 41.23335674102649
 28.99497487437186 58.75203460310232
 24.2713567839196 46.10180513439406
 20.05025125628141 38.07200337511746
 21.35678391959799 46.05447737747715
 25.27638190954774 50.27341674164351
 21.55778894472362 39.2847972607012
 17.23618090452261 35.81513333570045
 16.93467336683417 32.10857930127455
 11.30653266331658 25.20663835397944
 27.68844221105528 58.02057886900773
 15.0251256281407 34.51946324317614
 27.58793969849246 55.37924251028323
 23.66834170854272 47.91729598736923
 25.678391959799 48.44295926180725
 19.34673366834171 36.83475621093022
 21.85929648241206 48.13661401985021
 27.18592964824121 53.10283368363123
 23.16582914572864 48.82239204597845
 24.47236180904523 51.75444140597948
 26.78391959798995 50.82974439993584
 25.17587939698493 49.93245835009034
 16.03015075376884 31.97307732305375
 13.61809045226131 24.99759846306332
 17.93969849246231 37.0613700535568
 24.67336683417086 48.92331283985244
 22.66331658291457 45.01512134165361
 20.55276381909548 39.5007733244335
 28.39195979899498 56.40250122282576
 19.94974874371859 39.5850151290626
 26.08040201005025 51.23532791116191
 27.28643216080402 52.87002969170494
 26.18090452261307 51.45001681132337
 11.00502512562814 21.38347742750408
 24.77386934673367 44.49340111077995
 16.83417085427136 37.16096690187481
 16.23115577889447 37.18936593166033
 21.05527638190955 42.18954001593366
 24.9748743718593 51.48574525906353
 13.71859296482412 26.27630066955405
 10.20100502512563 22.55043899451542
 14.12060301507538 28.38373490154594
 18.84422110552764 36.04079216708174
 26.38190954773869 55.9847216603434
 15.7286432160804 31.58269640477328
 23.46733668341709 46.50244016124052
 17.33668341708543 34.4029888410191
 15.62814070351759 31.1068674195266
 26.48241206030151 56.10796966805689
 11.70854271356784 21.73587063617067
 17.03517587939698 32.44744454208872
